startstation,endstation,trips
Commercial at Montgomery,Temporary Transbay Terminal (Howard at Beale),142
Market at 4th,Temporary Transbay Terminal (Howard at Beale),142
Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,142
Embarcadero at Bryant,Townsend at 7th,142
Mechanics Plaza (Market at Battery),Market at 10th,142
Steuart at Market,Mechanics Plaza (Market at Battery),142
Redwood City Caltrain Station,Redwood City Medical Center,141
Civic Center BART (7th at Market),Market at Sansome,141
2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),141
St James Park,San Jose Diridon Caltrain Station,141
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),140
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),140
Market at Sansome,5th at Howard,140
Post at Kearney,2nd at South Park,139
San Jose Diridon Caltrain Station,San Jose City Hall,139
Spear at Folsom,5th at Howard,138
Cowper at University,Palo Alto Caltrain Station,138
Spear at Folsom,2nd at Folsom,137
5th at Howard,Market at Sansome,136
Beale at Market,San Francisco Caltrain 2 (330 Townsend),136
Harry Bridges Plaza (Ferry Building),Temporary Transbay Terminal (Howard at Beale),136
Embarcadero at Bryant,Clay at Battery,136
Mechanics Plaza (Market at Battery),Powell Street BART,135
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,134
Market at Sansome,Spear at Folsom,134
Temporary Transbay Terminal (Howard at Beale),Washington at Kearney,134
Embarcadero at Sansome,Civic Center BART (7th at Market),133
Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,133
Grant Avenue at Columbus Avenue,Embarcadero at Sansome,133
Market at 4th,2nd at Folsom,132
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),132
Spear at Folsom,Embarcadero at Sansome,132
San Jose City Hall,San Jose Diridon Caltrain Station,132
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),131
Market at Sansome,Market at Sansome,131
San Francisco City Hall,San Francisco Caltrain (Townsend at 4th),131
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),131
2nd at South Park,2nd at Folsom,130
2nd at South Park,Spear at Folsom,130
Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),130
Spear at Folsom,Steuart at Market,130
Grant Avenue at Columbus Avenue,Powell Street BART,130
5th at Howard,San Francisco Caltrain 2 (330 Townsend),129
Embarcadero at Sansome,Howard at 2nd,129
Mountain View Caltrain Station,Mountain View Caltrain Station,129
Temporary Transbay Terminal (Howard at Beale),Market at 10th,129
Grant Avenue at Columbus Avenue,Clay at Battery,128
Market at Sansome,Civic Center BART (7th at Market),128
Embarcadero at Bryant,Mechanics Plaza (Market at Battery),128
5th at Howard,Market at 10th,127
Howard at 2nd,Harry Bridges Plaza (Ferry Building),127
Howard at 2nd,5th at Howard,127
Civic Center BART (7th at Market),Civic Center BART (7th at Market),127
Powell at Post (Union Square),Steuart at Market,127
Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),127
Civic Center BART (7th at Market),Powell Street BART,127
Market at 4th,Grant Avenue at Columbus Avenue,126
San Francisco Caltrain (Townsend at 4th),Golden Gate at Polk,126
Powell at Post (Union Square),Townsend at 7th,126
2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),126
Townsend at 7th,Townsend at 7th,125
Golden Gate at Polk,Market at 4th,125
South Van Ness at Market,2nd at South Park,125
San Francisco Caltrain 2 (330 Townsend),2nd at Folsom,125
Powell Street BART,Harry Bridges Plaza (Ferry Building),125
Townsend at 7th,Golden Gate at Polk,125
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,125
San Jose Diridon Caltrain Station,St James Park,124
Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),124
Davis at Jackson,Beale at Market,124
San Francisco Caltrain (Townsend at 4th),Post at Kearney,123
Powell Street BART,San Francisco City Hall,123
