startstation,endstation,trips
Broadway St at Battery St,Spear at Folsom,30
Yerba Buena Center of the Arts (3rd @ Howard),Washington at Kearney,30
San Francisco City Hall,Embarcadero at Sansome,30
5th at Howard,Grant Avenue at Columbus Avenue,29
California Ave Caltrain Station,San Antonio Caltrain Station,29
5th at Howard,Golden Gate at Polk,29
Washington at Kearney,Embarcadero at Vallejo,29
Beale at Market,Golden Gate at Polk,29
Davis at Jackson,Clay at Battery,29
Embarcadero at Bryant,Post at Kearney,29
Civic Center BART (7th at Market),Mechanics Plaza (Market at Battery),29
Embarcadero at Bryant,Civic Center BART (7th at Market),29
5th at Howard,Beale at Market,29
Commercial at Montgomery,Civic Center BART (7th at Market),29
San Francisco Caltrain (Townsend at 4th),Washington at Kearney,29
Mechanics Plaza (Market at Battery),Golden Gate at Polk,28
San Francisco Caltrain (Townsend at 4th),Broadway St at Battery St,28
2nd at Townsend,Grant Avenue at Columbus Avenue,28
Embarcadero at Vallejo,Townsend at 7th,28
Commercial at Montgomery,Market at 10th,28
5th at Howard,Embarcadero at Folsom,28
St James Park,Japantown,28
South Van Ness at Market,Embarcadero at Vallejo,28
Washington at Kearney,Yerba Buena Center of the Arts (3rd @ Howard),28
Golden Gate at Polk,Mechanics Plaza (Market at Battery),28
Davis at Jackson,Golden Gate at Polk,27
MLK Library,SJSU 4th at San Carlos,27
2nd at Townsend,Washington at Kearney,27
Beale at Market,Yerba Buena Center of the Arts (3rd @ Howard),27
Paseo de San Antonio,Santa Clara at Almaden,27
Post at Kearney,Mechanics Plaza (Market at Battery),27
California Ave Caltrain Station,Park at Olive,27
Civic Center BART (7th at Market),Washington at Kearney,27
Mechanics Plaza (Market at Battery),Howard at 2nd,27
Golden Gate at Polk,2nd at South Park,27
Beale at Market,5th at Howard,27
San Francisco City Hall,Beale at Market,27
Post at Kearney,Embarcadero at Bryant,27
Powell Street BART,Embarcadero at Folsom,27
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain 2 (330 Townsend),26
San Francisco City Hall,Steuart at Market,26
Townsend at 7th,Embarcadero at Sansome,26
San Francisco City Hall,2nd at South Park,26
2nd at South Park,Embarcadero at Bryant,26
Beale at Market,Steuart at Market,26
San Pedro Square,San Salvador at 1st,26
San Jose Civic Center,San Pedro Square,26
Civic Center BART (7th at Market),2nd at Townsend,26
Embarcadero at Folsom,Post at Kearney,26
Golden Gate at Polk,Commercial at Montgomery,26
Howard at 2nd,2nd at Folsom,26
Spear at Folsom,Broadway St at Battery St,26
Clay at Battery,Commercial at Montgomery,25
Market at 10th,Davis at Jackson,25
SJSU 4th at San Carlos,San Jose City Hall,25
Embarcadero at Sansome,2nd at South Park,25
Palo Alto Caltrain Station,University and Emerson,25
Embarcadero at Vallejo,Market at 10th,25
Civic Center BART (7th at Market),Grant Avenue at Columbus Avenue,25
Clay at Battery,Washington at Kearney,25
San Jose City Hall,SJSU - San Salvador at 9th,25
Market at 10th,Clay at Battery,25
Howard at 2nd,Washington at Kearney,25
Japantown,San Salvador at 1st,25
San Jose City Hall,Adobe on Almaden,25
Post at Kearney,Market at Sansome,25
Steuart at Market,Harry Bridges Plaza (Ferry Building),25
5th at Howard,2nd at Townsend,24
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,24
Embarcadero at Bryant,Powell Street BART,24
Broadway St at Battery St,Mechanics Plaza (Market at Battery),24
Washington at Kearney,2nd at South Park,24
San Jose City Hall,San Jose Civic Center,24
Civic Center BART (7th at Market),Commercial at Montgomery,24
Washington at Kearney,Davis at Jackson,24
Civic Center BART (7th at Market),Embarcadero at Bryant,24
SJSU - San Salvador at 9th,San Jose City Hall,24
2nd at Folsom,Market at 10th,24
Adobe on Almaden,San Jose Civic Center,24
Golden Gate at Polk,San Francisco City Hall,24
San Francisco City Hall,Grant Avenue at Columbus Avenue,24
Beale at Market,San Francisco City Hall,24
SJSU - San Salvador at 9th,San Pedro Square,23
San Antonio Shopping Center,Mountain View Caltrain Station,23
Embarcadero at Bryant,2nd at South Park,23
Washington at Kearney,Spear at Folsom,23
Steuart at Market,Commercial at Montgomery,23
Mountain View Caltrain Station,San Antonio Shopping Center,23
San Jose Civic Center,MLK Library,23
SJSU 4th at San Carlos,Paseo de San Antonio,23
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Folsom,23
Spear at Folsom,Embarcadero at Folsom,23
SJSU 4th at San Carlos,St James Park,23
Paseo de San Antonio,SJSU 4th at San Carlos,23
Franklin at Maple,Franklin at Maple,23
Embarcadero at Folsom,South Van Ness at Market,23
St James Park,St James Park,22
Castro Street and El Camino Real,Castro Street and El Camino Real,22
2nd at Folsom,South Van Ness at Market,22
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),22
Embarcadero at Vallejo,5th at Howard,22
Embarcadero at Sansome,Townsend at 7th,22
Golden Gate at Polk,2nd at Townsend,22
Yerba Buena Center of the Arts (3rd @ Howard),Market at 4th,22
Park at Olive,California Ave Caltrain Station,22
Harry Bridges Plaza (Ferry Building),Steuart at Market,22
San Mateo County Center,Redwood City Medical Center,22
Steuart at Market,San Francisco City Hall,21
Adobe on Almaden,MLK Library,21
San Salvador at 1st,San Jose Civic Center,21
Grant Avenue at Columbus Avenue,Golden Gate at Polk,21
Civic Center BART (7th at Market),Spear at Folsom,21
MLK Library,San Jose Civic Center,21
San Antonio Caltrain Station,Mountain View Caltrain Station,21
Paseo de San Antonio,San Jose Civic Center,21
Harry Bridges Plaza (Ferry Building),Golden Gate at Polk,21
Powell at Post (Union Square),Embarcadero at Bryant,21
Redwood City Medical Center,San Mateo County Center,21
2nd at Townsend,Civic Center BART (7th at Market),21
Clay at Battery,Golden Gate at Polk,21
Howard at 2nd,Mechanics Plaza (Market at Battery),21
San Francisco City Hall,Golden Gate at Polk,21
SJSU 4th at San Carlos,San Pedro Square,21
SJSU 4th at San Carlos,San Jose Diridon Caltrain Station,20
Davis at Jackson,Washington at Kearney,20
Santa Clara at Almaden,San Jose Civic Center,20
St James Park,SJSU 4th at San Carlos,20
South Van Ness at Market,Davis at Jackson,20
California Ave Caltrain Station,Cowper at University,20
Yerba Buena Center of the Arts (3rd @ Howard),Howard at 2nd,20
San Mateo County Center,San Mateo County Center,20
Japantown,St James Park,20
2nd at Folsom,Embarcadero at Vallejo,20
SJSU 4th at San Carlos,Japantown,20
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco City Hall,20
Japantown,San Jose Diridon Caltrain Station,20
Santa Clara at Almaden,San Pedro Square,20
Embarcadero at Folsom,Clay at Battery,20
5th at Howard,Embarcadero at Bryant,19
San Francisco City Hall,Market at 10th,19
Davis at Jackson,Townsend at 7th,19
St James Park,Paseo de San Antonio,19
Townsend at 7th,Clay at Battery,19
5th at Howard,Embarcadero at Vallejo,19
Golden Gate at Polk,Howard at 2nd,19
Powell at Post (Union Square),Embarcadero at Folsom,19
Washington at Kearney,5th at Howard,19
Powell Street BART,Embarcadero at Bryant,19
Golden Gate at Polk,San Francisco Caltrain 2 (330 Townsend),19
Park at Olive,San Antonio Caltrain Station,19
Embarcadero at Bryant,Powell at Post (Union Square),19
Mechanics Plaza (Market at Battery),2nd at Folsom,19
San Pedro Square,Santa Clara at Almaden,19
2nd at South Park,Golden Gate at Polk,19
Arena Green / SAP Center,Paseo de San Antonio,19
Embarcadero at Vallejo,Golden Gate at Polk,18
MLK Library,St James Park,18
Market at Sansome,Broadway St at Battery St,18
Washington at Kearney,Civic Center BART (7th at Market),18
Embarcadero at Folsom,Beale at Market,18
San Jose Civic Center,San Jose City Hall,18
Embarcadero at Vallejo,Commercial at Montgomery,18
Davis at Jackson,South Van Ness at Market,18
San Jose Civic Center,San Salvador at 1st,18
Davis at Jackson,Market at 10th,18
Japantown,SJSU 4th at San Carlos,18
Washington at Kearney,Townsend at 7th,18
San Pedro Square,SJSU 4th at San Carlos,18
San Francisco Caltrain 2 (330 Townsend),Grant Avenue at Columbus Avenue,18
San Francisco City Hall,5th at Howard,18
Broadway St at Battery St,Steuart at Market,17
San Jose Diridon Caltrain Station,Arena Green / SAP Center,17
Japantown,San Jose Civic Center,17
San Francisco City Hall,Spear at Folsom,17
San Francisco City Hall,Commercial at Montgomery,17
Clay at Battery,San Francisco City Hall,17
St James Park,San Jose City Hall,17
Townsend at 7th,Washington at Kearney,17
Paseo de San Antonio,Adobe on Almaden,17
Washington at Kearney,Clay at Battery,17
Mechanics Plaza (Market at Battery),Beale at Market,17
San Jose Civic Center,SJSU - San Salvador at 9th,17
Civic Center BART (7th at Market),Howard at 2nd,17
Embarcadero at Folsom,Temporary Transbay Terminal (Howard at Beale),17
San Mateo County Center,Broadway at Main,17
Adobe on Almaden,Paseo de San Antonio,16
Washington at Kearney,South Van Ness at Market,16
Beale at Market,Mechanics Plaza (Market at Battery),16
San Antonio Caltrain Station,California Ave Caltrain Station,16
Embarcadero at Vallejo,Washington at Kearney,16
Grant Avenue at Columbus Avenue,San Francisco City Hall,16
San Francisco City Hall,2nd at Townsend,16
Mountain View City Hall,San Antonio Caltrain Station,16
San Francisco City Hall,Mechanics Plaza (Market at Battery),16
San Jose Civic Center,Adobe on Almaden,16
Washington at Kearney,2nd at Townsend,16
Golden Gate at Polk,Grant Avenue at Columbus Avenue,16
Embarcadero at Vallejo,San Francisco City Hall,16
Embarcadero at Sansome,San Francisco City Hall,15
St James Park,San Salvador at 1st,15
Japantown,Arena Green / SAP Center,15
Spear at Folsom,Golden Gate at Polk,15
5th at Howard,San Francisco City Hall,15
San Jose City Hall,St James Park,15
San Jose Civic Center,Arena Green / SAP Center,15
Townsend at 7th,Grant Avenue at Columbus Avenue,15
San Francisco City Hall,Yerba Buena Center of the Arts (3rd @ Howard),15
Townsend at 7th,Mechanics Plaza (Market at Battery),15
Washington at Kearney,San Francisco City Hall,15
San Antonio Caltrain Station,Mountain View City Hall,15
Davis at Jackson,5th at Howard,15
Market at Sansome,Post at Kearney,15
San Jose Civic Center,Santa Clara at Almaden,15
Washington at Kearney,Golden Gate at Polk,14
Redwood City Public Library,Redwood City Public Library,14
San Salvador at 1st,Japantown,14
Park at Olive,Cowper at University,14
Davis at Jackson,2nd at Folsom,14
MLK Library,Santa Clara at Almaden,14
Civic Center BART (7th at Market),Davis at Jackson,14
Embarcadero at Folsom,Civic Center BART (7th at Market),14
San Jose City Hall,Santa Clara at Almaden,14
Embarcadero at Vallejo,2nd at Folsom,14
Market at 10th,San Francisco City Hall,14
2nd at Folsom,San Francisco City Hall,14
Townsend at 7th,Davis at Jackson,14
Embarcadero at Folsom,2nd at Folsom,13
Davis at Jackson,San Francisco City Hall,13
Golden Gate at Polk,Clay at Battery,13
Steuart at Market,Broadway St at Battery St,13
Washington at Kearney,Commercial at Montgomery,13
Golden Gate at Polk,Davis at Jackson,13
Adobe on Almaden,San Pedro Square,13
Commercial at Montgomery,Townsend at 7th,13
Cowper at University,Park at Olive,13
University and Emerson,Palo Alto Caltrain Station,13
Market at 10th,Embarcadero at Folsom,13
Market at 10th,Embarcadero at Bryant,13
Mechanics Plaza (Market at Battery),Broadway St at Battery St,13
2nd at Townsend,San Francisco City Hall,13
Broadway at Main,San Mateo County Center,13
Broadway at Main,Broadway at Main,13
Commercial at Montgomery,Golden Gate at Polk,13
St James Park,MLK Library,13
Davis at Jackson,Civic Center BART (7th at Market),13
Yerba Buena Center of the Arts (3rd @ Howard),Davis at Jackson,13
Golden Gate at Polk,Embarcadero at Folsom,13
Commercial at Montgomery,San Francisco City Hall,12
St James Park,San Jose Civic Center,12
San Salvador at 1st,Arena Green / SAP Center,12
Palo Alto Caltrain Station,San Antonio Caltrain Station,12
Mountain View City Hall,Evelyn Park and Ride,12
South Van Ness at Market,Embarcadero at Bryant,12
San Jose Civic Center,Paseo de San Antonio,12
Powell at Post (Union Square),Broadway St at Battery St,12
Evelyn Park and Ride,Mountain View City Hall,12
5th at Howard,Davis at Jackson,12
Paseo de San Antonio,Arena Green / SAP Center,12
Japantown,SJSU - San Salvador at 9th,12
MLK Library,Adobe on Almaden,12
San Salvador at 1st,Santa Clara at Almaden,12
SJSU - San Salvador at 9th,San Jose Civic Center,11
Redwood City Caltrain Station,Palo Alto Caltrain Station,11
Santa Clara at Almaden,San Salvador at 1st,11
SJSU - San Salvador at 9th,Japantown,11
Steuart at Market,Beale at Market,11
Washington at Kearney,2nd at Folsom,11
Japantown,San Jose Government Center,11
Arena Green / SAP Center,Japantown,11
SJSU - San Salvador at 9th,Arena Green / SAP Center,11
2nd at Townsend,Golden Gate at Polk,11
Golden Gate at Polk,Spear at Folsom,11
Santa Clara at Almaden,Adobe on Almaden,10
Spear at Folsom,San Francisco City Hall,10
Embarcadero at Vallejo,Post at Kearney,10
Castro Street and El Camino Real,Mountain View City Hall,10
San Francisco City Hall,Embarcadero at Vallejo,10
Broadway St at Battery St,Market at Sansome,10
Broadway St at Battery St,Clay at Battery,10
San Antonio Caltrain Station,Park at Olive,10
Adobe on Almaden,San Jose City Hall,10
Commercial at Montgomery,Embarcadero at Vallejo,10
Franklin at Maple,Broadway at Main,10
Santa Clara at Almaden,SJSU - San Salvador at 9th,10
Broadway St at Battery St,2nd at South Park,9
SJSU - San Salvador at 9th,St James Park,9
Arena Green / SAP Center,Adobe on Almaden,9
Embarcadero at Bryant,South Van Ness at Market,9
Redwood City Public Library,San Mateo County Center,9
Broadway St at Battery St,Market at 4th,9
Embarcadero at Bryant,Market at 10th,9
Davis at Jackson,Yerba Buena Center of the Arts (3rd @ Howard),9
San Jose Civic Center,Japantown,9
Broadway St at Battery St,Embarcadero at Sansome,9
Embarcadero at Folsom,Spear at Folsom,9
Arena Green / SAP Center,San Jose Diridon Caltrain Station,9
San Jose Government Center,Japantown,9
Redwood City Public Library,Redwood City Caltrain Station,9
2nd at Folsom,Broadway St at Battery St,9
San Francisco City Hall,Washington at Kearney,9
Townsend at 7th,Commercial at Montgomery,8
St James Park,Adobe on Almaden,8
Arena Green / SAP Center,SJSU - San Salvador at 9th,8
Arena Green / SAP Center,San Salvador at 1st,8
SJSU 4th at San Carlos,Adobe on Almaden,8
Harry Bridges Plaza (Ferry Building),Broadway St at Battery St,8
Embarcadero at Folsom,Market at 10th,8
Adobe on Almaden,Arena Green / SAP Center,8
Embarcadero at Folsom,Golden Gate at Polk,8
San Francisco City Hall,Davis at Jackson,8
Golden Gate at Polk,Washington at Kearney,8
MLK Library,Arena Green / SAP Center,8
Howard at 2nd,San Francisco City Hall,8
San Mateo County Center,Redwood City Public Library,8
Embarcadero at Sansome,Broadway St at Battery St,8
University and Emerson,San Antonio Caltrain Station,8
San Jose Civic Center,St James Park,8
SJSU - San Salvador at 9th,Santa Clara at Almaden,8
Franklin at Maple,Redwood City Public Library,8
Santa Clara at Almaden,San Jose City Hall,8
Japantown,Adobe on Almaden,7
St James Park,SJSU - San Salvador at 9th,7
San Salvador at 1st,St James Park,7
Civic Center BART (7th at Market),Embarcadero at Folsom,7
Redwood City Caltrain Station,Broadway at Main,7
San Francisco City Hall,2nd at Folsom,7
Adobe on Almaden,Santa Clara at Almaden,7
Broadway St at Battery St,Civic Center BART (7th at Market),7
Santa Clara at Almaden,MLK Library,7
Broadway St at Battery St,Beale at Market,7
Arena Green / SAP Center,San Jose Civic Center,7
Redwood City Public Library,Franklin at Maple,7
SJSU 4th at San Carlos,San Jose Civic Center,7
Santa Clara at Almaden,Japantown,7
Broadway St at Battery St,Powell at Post (Union Square),7
Temporary Transbay Terminal (Howard at Beale),San Francisco City Hall,7
Mountain View Caltrain Station,Palo Alto Caltrain Station,6
Redwood City Medical Center,Redwood City Public Library,6
San Antonio Shopping Center,San Antonio Shopping Center,6
Broadway St at Battery St,Broadway St at Battery St,6
Arena Green / SAP Center,San Jose City Hall,6
Adobe on Almaden,Japantown,6
Broadway at Main,Franklin at Maple,6
Embarcadero at Bryant,San Francisco City Hall,6
2nd at Folsom,Golden Gate at Polk,6
Beale at Market,Broadway St at Battery St,6
Park at Olive,Mountain View City Hall,6
Adobe on Almaden,St James Park,6
Rengstorff Avenue / California Street,California Ave Caltrain Station,6
Mountain View City Hall,Park at Olive,6
Adobe on Almaden,SJSU 4th at San Carlos,6
Arena Green / SAP Center,SJSU 4th at San Carlos,6
San Antonio Shopping Center,Mountain View City Hall,6
Redwood City Medical Center,Broadway at Main,6
San Francisco City Hall,Howard at 2nd,6
San Antonio Shopping Center,California Ave Caltrain Station,5
Broadway St at Battery St,2nd at Townsend,5
Broadway at Main,Redwood City Caltrain Station,5
Rengstorff Avenue / California Street,University and Emerson,5
St James Park,Santa Clara at Almaden,5
Santa Clara at Almaden,St James Park,5
Clay at Battery,Broadway St at Battery St,5
Arena Green / SAP Center,St James Park,5
Grant Avenue at Columbus Avenue,Broadway St at Battery St,5
Embarcadero at Vallejo,Broadway St at Battery St,5
San Pedro Square,Adobe on Almaden,5
San Antonio Caltrain Station,University and Emerson,5
Redwood City Medical Center,Redwood City Medical Center,5
Powell Street BART,Broadway St at Battery St,5
San Jose Civic Center,SJSU 4th at San Carlos,5
Broadway at Main,Redwood City Medical Center,5
San Francisco City Hall,Clay at Battery,5
San Francisco City Hall,Temporary Transbay Terminal (Howard at Beale),4
Castro Street and El Camino Real,San Antonio Shopping Center,4
Adobe on Almaden,San Salvador at 1st,4
Arena Green / SAP Center,San Jose Government Center,4
Mountain View Caltrain Station,Park at Olive,4
Cowper at University,San Antonio Caltrain Station,4
Embarcadero at Bryant,Golden Gate at Polk,4
Golden Gate at Polk,2nd at Folsom,4
San Francisco City Hall,Embarcadero at Bryant,4
Mountain View City Hall,San Antonio Shopping Center,4
St James Park,Arena Green / SAP Center,4
Broadway St at Battery St,Embarcadero at Bryant,4
San Salvador at 1st,Adobe on Almaden,4
San Antonio Caltrain Station,Palo Alto Caltrain Station,4
Embarcadero at Folsom,Broadway St at Battery St,4
Civic Center BART (7th at Market),Broadway St at Battery St,4
San Francisco Caltrain 2 (330 Townsend),Broadway St at Battery St,4
San Antonio Caltrain Station,Evelyn Park and Ride,4
California Ave Caltrain Station,Rengstorff Avenue / California Street,4
Washington at Kearney,Broadway St at Battery St,4
Rengstorff Avenue / California Street,Park at Olive,4
Embarcadero at Bryant,Broadway St at Battery St,4
California Ave Caltrain Station,Mountain View Caltrain Station,3
Broadway St at Battery St,Market at 10th,3
Broadway St at Battery St,Harry Bridges Plaza (Ferry Building),3
San Jose Government Center,St James Park,3
San Jose Government Center,San Pedro Square,3
Mountain View City Hall,Castro Street and El Camino Real,3
Embarcadero at Folsom,San Francisco City Hall,3
San Jose Government Center,San Jose City Hall,3
San Antonio Shopping Center,Castro Street and El Camino Real,3
Post at Kearney,Broadway St at Battery St,3
Broadway at Main,Redwood City Public Library,3
Broadway St at Battery St,Embarcadero at Folsom,3
Park at Olive,Mountain View Caltrain Station,3
University and Emerson,San Antonio Shopping Center,3
Davis at Jackson,Broadway St at Battery St,3
SJSU - San Salvador at 9th,Adobe on Almaden,3
Redwood City Caltrain Station,Mezes Park,3
Cowper at University,Broadway at Main,3
Park at Olive,Rengstorff Avenue / California Street,3
Park at Olive,San Antonio Shopping Center,3
San Antonio Shopping Center,University and Emerson,2
San Jose City Hall,Arena Green / SAP Center,2
2nd at Townsend,Broadway St at Battery St,2
San Antonio Caltrain Station,Cowper at University,2
Adobe on Almaden,SJSU - San Salvador at 9th,2
Palo Alto Caltrain Station,Redwood City Caltrain Station,2
Palo Alto Caltrain Station,Redwood City Public Library,2
SJSU 4th at San Carlos,Arena Green / SAP Center,2
Cowper at University,Mountain View Caltrain Station,2
San Pedro Square,San Jose Government Center,2
Mezes Park,Redwood City Medical Center,2
Palo Alto Caltrain Station,Mountain View Caltrain Station,2
Broadway St at Battery St,Powell Street BART,2
Howard at 2nd,Broadway St at Battery St,2
Broadway St at Battery St,Commercial at Montgomery,2
San Jose Government Center,SJSU - San Salvador at 9th,2
Mountain View Caltrain Station,Cowper at University,2
Franklin at Maple,Palo Alto Caltrain Station,2
San Antonio Shopping Center,Park at Olive,2
Market at 4th,Broadway St at Battery St,2
Paseo de San Antonio,San Jose Government Center,2
Franklin at Maple,University and Emerson,2
Franklin at Maple,Mezes Park,2
Broadway St at Battery St,South Van Ness at Market,2
Arena Green / SAP Center,MLK Library,2
Yerba Buena Center of the Arts (3rd @ Howard),Broadway St at Battery St,2
University and Emerson,Rengstorff Avenue / California Street,2
University and Emerson,Mountain View Caltrain Station,2
Evelyn Park and Ride,San Antonio Caltrain Station,2
San Francisco Caltrain 2 (330 Townsend),University and Emerson,2
Golden Gate at Polk,Embarcadero at Bryant,2
Redwood City Public Library,Redwood City Medical Center,2
Redwood City Public Library,Cowper at University,2
San Jose Government Center,Paseo de San Antonio,1
Broadway St at Battery St,Townsend at 7th,1
Broadway St at Battery St,Post at Kearney,1
Market at 4th,Paseo de San Antonio,1
Mountain View Caltrain Station,University and Emerson,1
Rengstorff Avenue / California Street,San Antonio Shopping Center,1
Broadway St at Battery St,Grant Avenue at Columbus Avenue,1
San Francisco Caltrain (Townsend at 4th),San Jose Diridon Caltrain Station,1
Embarcadero at Bryant,San Mateo County Center,1
SJSU - San Salvador at 9th,San Jose Government Center,1
San Jose City Hall,San Jose Government Center,1
2nd at South Park,Broadway St at Battery St,1
Castro Street and El Camino Real,Rengstorff Avenue / California Street,1
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),1
Cowper at University,Redwood City Public Library,1
Franklin at Maple,Redwood City Medical Center,1
San Jose Government Center,Arena Green / SAP Center,1
Broadway St at Battery St,Embarcadero at Vallejo,1
Redwood City Medical Center,Franklin at Maple,1
Palo Alto Caltrain Station,Rengstorff Avenue / California Street,1
San Francisco City Hall,Embarcadero at Folsom,1
Commercial at Montgomery,Broadway St at Battery St,1
Redwood City Public Library,Castro Street and El Camino Real,1
2nd at Townsend,Redwood City Caltrain Station,1
San Antonio Caltrain Station,Redwood City Caltrain Station,1
San Jose Civic Center,Civic Center BART (7th at Market),1
Broadway St at Battery St,Yerba Buena Center of the Arts (3rd @ Howard),1
Powell Street BART,University and Emerson,1
San Francisco City Hall,San Jose City Hall,1
MLK Library,San Jose Government Center,1
California Ave Caltrain Station,San Antonio Shopping Center,1
Mountain View City Hall,University and Emerson,1
San Antonio Shopping Center,Civic Center BART (7th at Market),1
Redwood City Caltrain Station,Cowper at University,1
Mountain View Caltrain Station,San Jose Diridon Caltrain Station,1
Redwood City Caltrain Station,Civic Center BART (7th at Market),1
Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,1
Mountain View Caltrain Station,St James Park,1
University and Emerson,Mountain View City Hall,1
Franklin at Maple,San Mateo County Center,1
Broadway St at Battery St,San Francisco Caltrain 2 (330 Townsend),1
SJSU 4th at San Carlos,San Jose Government Center,1
Mountain View Caltrain Station,California Ave Caltrain Station,1
Paseo de San Antonio,Market at 4th,1
Mezes Park,Redwood City Caltrain Station,1
San Jose Diridon Caltrain Station,Rengstorff Avenue / California Street,1
Broadway St at Battery St,Davis at Jackson,1
Mountain View City Hall,Palo Alto Caltrain Station,1
Start Station,End Station,1
Redwood City Caltrain Station,San Antonio Caltrain Station,1
Broadway St at Battery St,2nd at Folsom,1
5th at Howard,Broadway St at Battery St,1
University and Emerson,Redwood City Caltrain Station,1
California Ave Caltrain Station,Market at Sansome,1
Adobe on Almaden,Rengstorff Avenue / California Street,1
San Antonio Shopping Center,Rengstorff Avenue / California Street,1
San Jose Government Center,Adobe on Almaden,1
Broadway St at Battery St,Washington at Kearney,1
Redwood City Medical Center,SJSU - San Salvador at 9th,1
